"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@sol_nado @bluesabredavis @Xubuntu Thanks for hint. I will try it.",FALSE,10,"sol_nado",2019-10-30 14:24:12,FALSE,"1189142956869062657","1189548562629066755","1189140453997928449","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coronavirus",9,FALSE,FALSE,NA,NA
"2","@bluesabredavis @Xubuntu 1. Lost focus
2. Lower right corner window resizing

Thank you for the hard work. It’s an… https://t.co/ClsfTS3E2p",FALSE,0,"bluesabredavis",2019-10-27 03:23:54,TRUE,"1188095919314657280","1188295228597235713","334598685","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coronavirus",0,FALSE,FALSE,NA,NA
"3","@omgubuntu Not yet officially release",FALSE,0,"omgubuntu",2019-10-17 06:20:06,FALSE,"1184691152353673216","1184715690235711488","72915446","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","coronavirus",5,FALSE,FALSE,NA,NA
"4","@omgubuntu Good to know",FALSE,1,"omgubuntu",2019-03-18 13:37:02,FALSE,"1107301973987086339","1107637032866582529","72915446","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coronavirus",10,FALSE,FALSE,NA,NA
