,rssdate,rsstitle,rssdesc,rsslink
1,"Sat, 15 Feb 2020 07:52:16 GMT",Shami: How can people question Bumrah after just 2-4 games?,"""How can people forget Jasprit Bumrah's numerous match-winning performances just after a couple of indifferent ODI games?"" asked a miffed Mohammed Shami on Saturday to counter the criticism levelled at his new ball partner. This came after Bumrah went wicketless in all 3 of India's defeats against New Zealand with questions being raised over his performance.",https://timesofindia.indiatimes.com/sports/cricket/india-in-new-zealand/mohammed-shami-surprised-with-people-questioning-jasprit-bumrahs-ability-after-just-2-4-games/articleshow/74147208.cms
2,"Fri, 14 Feb 2020 22:30:00 GMT",Coronavirus may hit 28% Indian imports,"The country’s construction, auto, chemicals and pharma sectors are expected to be the worst affected due to COVID-19. Five import items heavily dependant on China - electrical machinery, machinery & mechanical appliances, organic chemicals, plastics and optical & surgical instruments - that make up about 28% of India’s import basket could be hit the most.",https://timesofindia.indiatimes.com/business/india-business/virus-may-hit-28-indian-imports/articleshow/74143474.cms
3,"Sat, 15 Feb 2020 05:07:34 GMT",Former IAS officer Shah Faesal booked under PSA,"Former IAS officer and chief of Jammu & Kashmir People's Movement Shah Faesal has been booked under the PSA. The JKPM leader was stopped from taking a flight to Istanbul at the Delhi airport during the intervening night of August 13 and 14 last year and flown back to Srinagar, where he was detained.  He had floated a political outfit after resigning from the IAS. ",https://timesofindia.indiatimes.com/india/jk-former-ias-officer-shah-faesal-booked-under-psa/articleshow/74145380.cms
4,"Fri, 14 Feb 2020 20:30:00 GMT",Evoke: ‘The sky is for everyone',,https://timesofindia.indiatimes.com/the-sky-is-for-everyone-exploring-the-unknown-is-thrilling-to-me/articleshow/74141222.cms
5,"Sat, 15 Feb 2020 03:01:16 GMT",Will 'Kem Chho' help Trump woo Indian diaspora?,"In September 2019, over 50,000 people attended the 'Howdy Modi' event in Houston, where PM Modi and US President Donald Trump joined hands and greeted the Indian diaspora present. On February 24, the event will have a repeat at a larger scale. But what would it mean for the sizeable NRI population in the US with a significant population of Gujarati-origin Americans?",https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-will-kem-chho-in-motera-echo-in-the-us/articleshow/74144505.cms
